lang,tag,key,value,title,tgroup,has_templ,parsed,redirect_target,description,image,osmcarto_rendering,on_node,on_way,on_area,on_relation,tags_implies,tags_combination,tags_linked,status,approval_status,statuslink,wikidata
en,addr:district,addr:district,,Key:addr:district,addresses,1,1,,"The name of the district that is included in the address. A district is a type of administrative division that, in some countries, is managed by the local government.",File:Hangal Taluk.jpg,,1,0,1,0,,,"addr,addr:city,addr:subdistrict,addr:suburb,amenity,building,office,place=district,shop",t,de facto,,
en,addr:flats,addr:flats,,Key:addr:flats,addresses,1,1,,The range of unit numbers within a larger building or complex. For example the range of flats behind the entrance door of a building.,File:Entrance code and flat range.jpg,File:Rendering of addr flats 2.png,1,0,1,0,,"addr:housenumber,addr:street,entrance,name","addr:flat,addr:flats,addr:flats=3-7;10;14;16-18,addr:flats=97-117,addr:flats=;1-2,addr:housenumber,addr:housenumber=10,addr:street,addr:unit,building,building:flats,entrance,name,ref",t,de facto,,
en,addr:floor,addr:floor,,Key:addr:floor,addresses,1,1,,"The floor where an address feature is located, using locally used method of indicating specific floor.",,,1,0,1,0,,"office,room,shop","addr:floor,addr:floor=A,level,level:ref,level=-1,level=0,level=1,office,room,shop",t,approved,Proposal:Addr keys (2011-04),
en,addr:hamlet,addr:hamlet,,Key:addr:hamlet,addresses,1,1,,The hamlet of the object that forms part of the address,File:Grosvenor Place 2 2008 06 19.jpg,,1,0,1,0,,,,t,de facto,,
en,addr:housename,addr:housename,,Key:addr:housename,addresses,1,1,,The house (or building) name that is included in the address.,"File:House-name sign, Main Street Aberlady. - geograph.org.uk - 1753443.jpg",,1,1,1,0,,,,t,de facto,,
en,addr:housenumber,addr:housenumber,,Key:addr:housenumber,addresses,1,1,,"The house (or building) number that is included in the address. The number may contain non-digits and if recording multiple house numbers separate them by "","" (e.g. ""12b,12c"").","File:Ferry Street, Portaferry (09), October 2009.JPG",,1,1,1,0,,,"addr:housenumber,addr:place,addr:street,nohousenumber=yes,old_addr:housenumber",t,de facto,Proposal:House numbers/Karlsruhe Schema,
en,addr:place,addr:place,,Key:addr:place,addresses,1,1,,The place name that this address is (and any others in this location are) grouped by. Grouping by a place name is used only when addressees are not grouped by a street. For example when the address is made up of just a number and village name.,File:Suburb of Phillip.jpg,,1,1,1,1,,addr:housenumber,"addr:city,addr:city=Veshevo,addr:housenumber,addr:housenumber=10,addr:housenumber=12,addr:housenumber=2,addr:housenumber=3,addr:housenumber=4,addr:housenumber=5,addr:housenumber=6,addr:housenumber=7,addr:place,addr:place=Bolnichnaya Mointain,addr:place=Elagin Island,addr:place=Galerny Island,addr:place=Left Bank of River Izhora,addr:place=Pavilion of Uritsky,addr:place=gardening Viktoria,addr:place=gardening Zdorovye,addr:place=microdistrict 1,addr:place=village Novaya,addr:street,addr:suburb,name,name=Veshevo,place,place=village",t,de facto,Proposal:Addr:place,
en,addr:postcode,addr:postcode,,Key:addr:postcode,addresses,1,1,,The postal code / zip code that is included in the address.,File:Farrer post code.jpg,,1,1,1,0,,,"addr:postcode,addr:postcode=12345,addr:postcode=12345-7890,boundary=postal_code,postal_code",t,de facto,,
en,addr:province,addr:province,,Key:addr:province,addresses,1,1,,The name of the province that is included in the address. A province is almost always an administrative division within a country or state.,File:Stamp of Indonesia - 2002 - Colnect 265917 - Aceh Province.jpeg,,1,0,1,0,,,,t,de facto,,
en,addr:provisionalnumber,addr:provisionalnumber,,Key:addr:provisionalnumber,addresses,1,1,,"Provisional house numbers known as ""číslo evidenční"" in the Czech Republic.","File:Klínec, číslo chaty.jpg",,1,0,1,1,,"addr:conscriptionnumber,addr:housenumber,addr:streetnumber","addr:conscriptionnumber,addr:housenumber,addr:streetnumber",t,de facto,,
en,addr:state,addr:state,,Key:addr:state,addresses,1,1,,The state indicated in the address.,File:WVaCent.jpg,,1,0,1,0,,,"addr:country,addr:province,addr:region,addr:state,addr:state=OH",t,de facto,,
en,addr:street,addr:street,,Key:addr:street,addresses,1,1,,"The street name that this address is (and any others in this location are) grouped by. This street name should match that of a nearby road, track or path.",File:UK - London (30474933636).jpg,,1,1,1,0,,,"addr:city,addr:country,addr:housenumber,addr:place,addr:postcode,addr:street,alt_name,highway=pedestrian,highway=residential,name,place=square",t,de facto,Proposal:House numbers/Karlsruhe Schema,
en,addr:streetnumber,addr:streetnumber,,Key:addr:streetnumber,addresses,1,1,,"Secondary house numbers known as ""číslo orientační"" in the Czech Republic.",File:Domovní čísla Záběhlice.jpg,,1,0,1,1,,"addr:conscriptionnumber,addr:housenumber,addr:provisionalnumber","addr:conscriptionnumber,addr:housenumber,addr:provisionalnumber",t,de facto,,
en,addr:subdistrict,addr:subdistrict,,Key:addr:subdistrict,addresses,1,1,,The subdistrict of the object.,File:Pengji Subdistrict.png,,1,0,1,0,,,,t,de facto,,
en,addr:suburb,addr:suburb,,Key:addr:suburb,addresses,1,1,,"The name of a smaller settlement or sub-division of a urban area, that is included in the address to help locate it (or distinguish it from others) within the larger settlement also included in the address.",File:Grosvenor Place 2 2008 06 19.jpg,,1,1,1,1,,,"addr,addr:district,addr:hamlet,addr:housenumber=3,addr:street,addr:street=Sophiyskaya Street,addr:subdistrict,addr:suburb,addr:suburb=Shuvalovo,name,name=Sophiyskaya Street,place=suburb",t,de facto,,
en,addr:town,addr:town,,Key:addr:town,addresses,1,1,,The town of the object that forms part of the address,,,1,0,1,0,,,,t,de facto,,
en,addr:unit,addr:unit,,Key:addr:unit,addresses,1,1,,"The number, letter, or name included in the address to represent a subdivision (such as a single unit or flat) within a larger building or complex.",,,1,1,1,0,,,,t,approved,,
en,addr:village,addr:village,,Key:addr:village,addresses,1,1,,The village of the object that forms part of the address,,,1,0,1,0,,,addr:city,t,de facto,,
en,admin_level,admin_level,,Key:admin_level,boundaries,1,1,,Indicates the level of an administrative boundary,File:Santa Catarina location.png,,1,1,1,1,,"boundary=administrative,government","admin_level,admin_level=10,admin_level=2,admin_level=4,admin_level=7,amenity=courthouse,boundary=administrative,capital,government,office=government",t,de facto,,
en,adr_les,adr_les,,Key:adr_les,,1,1,,Full Polish forest compartment identifier,,,1,0,1,1,,"operator,ref","adr_les=02‑27‑1‑04‑168,adr_les=02‑27‑1‑04‑168‑k‑00,boundary=forest_compartment,landuse=forest,man_made=cutline,natural=wood,operator,operator=PGL LP,ref,ref=168,ref=k‑00",t,de facto,,
en,advertising,advertising,,Key:advertising,advertising,1,1,,To characterize all types of advertising devices,File:Picadilly Circus London by night 2006.jpg,,1,1,1,1,,,"advertising,advertising=board,advertising=yes,amenity=bench,amenity=bus_station,amenity=clock,animated,brand,direction,doublesided=yes,height,informal=yes,landmark,level,lit,luminous,man_made=advertising,man_made=flagpole,message,message=opinion;non_profit,office=advertising_agency,operator,orientation,ref,sides,sides=2,size,support,visibility,width",t,de facto,Proposal:Advertising,
en,aerialway,aerialway,,Key:aerialway,aerialways,1,1,,"Used for various forms of transport for passengers and goods that use wires, including cable-cars, chair-lifts and drag-lifts.",File:Expo2000 seilbahn1.jpg,,1,1,0,0,,"maxweight,name,ref","access,access=private/forestry/...,foot=forestry,foot=no,foot=private,foot=yes,maxweight,min_age,name,operator,ref,seasonal=yes/no,usage=freight,usage=industrial,website",t,de facto,Proposal:Piste Maps,
en,aerialway:occupancy,aerialway:occupancy,,Key:aerialway:occupancy,aerialways,1,1,,"People in each carriage (car, chair, etc.); numeric.",File:Innsbruck-Doppelmayr-8-seat chairlift-04ASD.jpg,,0,1,0,0,,"aerialway,aerialway:duration","aerialway,aerialway:duration",t,de facto,Proposal:Piste Maps,
en,aerodrome:type,aerodrome:type,,Key:aerodrome:type,aeroways,1,1,,Type of airport,File:Airport symbol civil.png,,1,0,1,0,,,"aerodrome,aerodrome:type,aerodrome:type=military,aeroway=aerodrome,aeroway=airstrip,aeroway=heliport,aeroway=spaceport,military=airfield,type",t,de facto,,
en,aeroway,aeroway,,Key:aeroway,aeroways,1,1,,"For physical infrastructure used to support aircraft, air travel, spacecraft and space flight.",File:HFX Airport 4.jpg,,1,1,1,0,,,"amenity,ele,iata,icao,military=airfield,shop,surface,width",t,de facto,,
en,agricultural,agricultural,,Key:agricultural,restrictions,1,1,,"Access permission for agricultural motor vehicles; e.g., tractors, that have additional restrictions; e.g., a 25 km/h speed limit (slow vehicles)",File:Sinnbild Traktor.svg,,0,1,1,0,,highway,"access,access=agricultural,access=private,agricultural,agricultural=designated,agricultural=no,agricultural=yes,highway,moped,motor_vehicle=agricultural,vehicle=agricultural",t,approved,Proposal:More access keys and values,
en,air_conditioning,air_conditioning,,Key:air_conditioning,properties,1,1,,Indication whether a feature has air-conditioning,File:Condizionatore su facciata casa.jpg,,1,0,1,0,,,"air_conditioning,amenity=cinema,amenity=library,amenity=restaurant,tourism=apartment,tourism=chalet,tourism=hotel",t,de facto,,
en,alt_name,alt_name,,Key:alt_name,names,1,1,,"Alternative name or names by which the feature is known in the local language; for names in other languages, use name:xy where xy is the ISO 639 language code; not to be confused with name:alt, which is for the name in the Altai language",File:Portville-princess.jpg,,1,1,1,1,,name,"alt_name,alt_name:en=Weiwu Expressway,alt_name=Jomotshangkha;Jomot Shangha;Jomot Sangkha;Jomotshangka,alt_name=渭武高速,loc_name,name,name:en=Lanhai Expressway,name=Jomotsangkha,name=兰海高速,official_name,reg_name,short_name",t,de facto,,
en,amenity,amenity,,Key:amenity,amenities,1,1,,For describing useful and important facilities for visitors and residents.,File:Mapping-Features-Parking-Lot.png,,1,0,1,1,,,"amenity,amenity=cafe,amenity=embassy,amenity=grit_bin,amenity=hospital,amenity=parking_entrance,amenity=pub,building,healthcare=hospital",t,de facto,,
en,announcement,announcement,,Key:announcement,Public transport,1,1,,Indicates whether there are announcements on a given public transport platform,File:Announcement speakers.jpg,,1,1,1,0,,public_transport,"announcement,announcement=no,announcement=yes,public_transport,speech_output",t,approved,Proposal:Public_Transport:_Auditory_Information,
en,archaeological_site,archaeological_site,,Key:archaeological_site,historic,1,1,,A typological system for archaeological sites,File:Chaukundi1.JPG,,1,0,1,0,,name,"historic=archaeological_site,name",t,approved,Proposed features/Key:archaeological_site,
en,architect,architect,,Key:architect,annotations,1,1,,Name of architect.,File:Eiffelturm2.jpg,,1,0,1,0,,"architect:wikidata,architect:wikipedia,start_date","architect,architect:wikidata,architect:wikipedia,artist_name,office=architect,office=engineer,start_date",t,approved,Proposal:Architect,
en,architect:wikidata,architect:wikidata,,Key:architect:wikidata,annotations,1,1,,The ID of the Wikidata item about the architect.,File:Wikidata-logo-en.svg,,1,0,1,0,,,"architect,architect:wikidata,architect:wikidata=Q313181,architect=Carl Gotthard Langhans,building=gate,name=Brandenburger Tor,wikidata",t,de facto,,
en,area,area,,Key:area,properties,1,1,,Indicates whether a closed way represents an area or just a circular way.,File:Mapnik area pedestrian.png,,0,1,1,0,,,"aeroway,aeroway=taxiway,area=footway,area=no,area=steps,area=yes,barrier,barrier=fence,building,highway,highway=pedestrian,indoor=corridor,landuse,landuse=grass,leisure,leisure=track,name,natural,sport=running",t,approved,Talk:Key:area#Vote,
en,area:highway,area:highway,,Key:area:highway,highways,1,1,,The shape of a highway area.,File:Street Area iD.jpg,,0,0,1,0,,"lit,surface","area:aeroway,area:highway,area:highway=cycleway,area:highway=emergency,area:highway=footway,area:highway=path,area:highway=pedestrian,area:highway=steps,area=yes,highway,lit,surface,width",t,de facto,,
en,armrest,armrest,,Key:armrest,amenities,1,1,,Whether a bench has armrests or not.,File:Bench.jpg,,1,1,0,0,,,"amenity=bench,armrest=no,armrest=yes,backrest",t,de facto,,
en,artist:wikidata,artist:wikidata,,Key:artist:wikidata,,1,1,,The ID of the Wikidata item about the artist.,File:Wikidata-logo-en.svg,,1,0,1,0,,artist_name,"artist:wikidata,artist_name,historic=memorial,tourism=artwork",t,de facto,,
en,artist_name,artist_name,,Key:artist_name,,1,1,,A name of an artist who created the piece of art.,File:Begynnelse-4.jpg,,1,1,1,0,,"historic=memorial,tourism=artwork","architect,artist:wikidata,artist:wikipedia,artist_name,historic=memorial,tourism=artwork",t,approved,Proposal:Tag:tourism=artwork,
en,artwork_type,artwork_type,,Key:artwork_type,tourism,1,1,,Describes the type of an artwork.,File:Begynnelse-4.jpg,,1,1,1,0,,,"artwork_type,artwork_type=mural,artwork_type=painting,artwork_type=statue,exhibit,historic=memorial,man_made=geoglyph,memorial=bust,memorial=statue,memorial=stone,statue,tourism=artwork",t,approved,Proposal:Tag:tourism=artwork,
en,assembly_point:earthquake,assembly_point:earthquake,,Key:assembly_point:earthquake,,1,1,,Specifies wether an assembly point is designed to be used in case of earthquake,,,1,0,1,0,,,"assembly_point:earthquake=no,assembly_point:earthquake=yes,emergency=assembly_point",t,approved,Proposal:Assembly point:purpose,
en,assembly_point:fire,assembly_point:fire,,Key:assembly_point:fire,,1,1,,Specifies wether an assembly point is designed to be used in case of fire,File:(Camp-)fire assembly point - geograph.org.uk - 839740.jpg,,1,0,1,0,,,"assembly_point:fire=no,assembly_point:fire=yes,emergency=assembly_point",t,approved,Proposal:Assembly point:purpose,
en,assembly_point:flood,assembly_point:flood,,Key:assembly_point:flood,,1,1,,Specifies wether an assembly point is designed to be used in case of floods,,,1,0,1,0,,,"assembly_point:flood=no,assembly_point:flood=yes,emergency=assembly_point",t,approved,Proposal:Assembly point:purpose,
en,assembly_point:landslide,assembly_point:landslide,,Key:assembly_point:landslide,,1,1,,Specifies wether an assembly point is designed to be used in case of landslides,,,1,0,1,0,,,"assembly_point:landslide=no,assembly_point:landslide=yes,emergency=assembly_point",t,approved,Proposal:Assembly point:purpose,
en,assembly_point:tornado,assembly_point:tornado,,Key:assembly_point:tornado,,1,1,,Specifies wether an assembly point is designed to be used in case of tornado,,,1,0,1,0,,,"assembly_point:tornado=no,assembly_point:tornado=yes,emergency=assembly_point",t,approved,Proposal:Assembly point:purpose,
en,assembly_point:tsunami,assembly_point:tsunami,,Key:assembly_point:tsunami,,1,1,,Specifies wether an assembly point is designed to be used in case of tsunami,File:Colombia road sign SI-34.svg,,1,0,1,0,,,"assembly_point:tsunami=(NUMBER),assembly_point:tsunami=no,assembly_point:tsunami=yes,emergency=assembly_point",t,approved,Proposal:Assembly point:purpose,
en,assisted_trail,assisted_trail,,Key:assisted_trail,,1,1,,"Indicates that the dangerous or difficult sections of a hiking path are secured by technical means like steel cables, fixed ropes, ladders, or rungs.",File:Maxbe wege 70687a.jpg,,0,1,0,0,wheelchair=no,"highway=path,sac_scale","highway=path,highway=via_ferrata,ladder,rungs,sac_scale,safety_rope,wheelchair=no",t,approved,Proposal:Safety measures on hiking trails,
en,attraction,attraction,,Key:attraction,,1,1,,Covers all kinds of dedicated attractions.,File:Autoscooter1.jpg,,1,1,1,0,,,"attraction,attraction=animal,fee=yes,garden:style,leisure=garden,name,payment=coins,playground=roundabout,roller_coaster:track,roller_coaster=track,species,tourism,tourism=attraction",t,de facto,,
en,atv:sales,atv:sales,,Key:atv:sales,,1,1,,A shop which sells ATVs / Quads,File:Sales counter.png,,1,0,1,0,,shop=atv,"atv:repair=no,atv:sales=used,shop=atv,shop=motorcycle",t,de facto,,
en,avalanche_transceiver,avalanche_transceiver,,Key:avalanche_transceiver,emergencies,1,1,,For marking avalanche transceiver training zone and avalanche transceiver checkpoint,File:LVS Checkpoint.JPG,,1,0,1,0,,"automated,ele,indoor,name,operator,ref","amenity=avalanche_transceiver,automated,automated=yes/no,avalanche_transceiver=checkpoint,avalanche_transceiver=training,ele,indoor,indoor=yes/no,name,operator,ref",t,approved,Proposed_features/Avalanche-transceiver,
en,backrest,backrest,,Key:backrest,amenities,1,1,,Whether a bench has a backrest to lean against.,File:Bench.jpg,,1,1,0,0,,,"amenity=bench,backrest=no,backrest=yes",t,de facto,,
en,barrier,barrier,,Key:barrier,restrictions,1,1,,A barrier is a physical structure which blocks or impedes movement.,"File:2014 Bystrzyca Kłodzka, mury obronne 05.jpg",,1,1,1,0,,"access,height,locked,maxheight,maxwidth,operator,wheelchair=yes/no/limited,width","access,barrier=embankment,door,embankment=yes,height,locked,man_made=dyke,man_made=embankment,maxheight,maxwidth,obstacle,operator,traffic_calming,wheelchair=yes/no/limited,width",t,approved,Proposal:Barriers,
en,basin,basin,,Key:basin,,1,1,,Used for more detailed specification of tag:natural=water + tag:water=basin or tag:landuse=basin.,File:Retention basin of wanda plant.JPG,,1,0,1,0,,,"landuse=basin,man_made=bioswale,natural=water,water=basin",t,de facto,,
en,beacon:type,beacon:type,,Key:beacon:type,aeroways,1,1,,"Specifies the type of aeronautical radio navigation system, or indoor beacon.",File:NDB KI.jpg,,1,0,0,0,,,"airmark=beacon,indoormark=beacon",t,approved,Proposal:Indoormark=beacon,
en,beacon:uuid,beacon:uuid,,Key:beacon:uuid,references,1,1,,Universal unique Identifier of the beacon.,,,1,0,0,0,,,indoormark=beacon,t,approved,Proposal:Indoormark=beacon,
en,bench,bench,,Key:bench,amenities,1,1,,Used to indicate whether the feature has any benches or not.,File:Chulalongkorn University bus stop.jpg,,1,1,1,0,,"amenity=shelter,highway=bus_stop","amenity=bench,amenity=shelter,bench,bench:type,bench:type=stand_up,bench=stand_up_bench,bench=wave_lounger,bench=yes/no,highway=bus_stop,seats",t,de facto,,
en,bicycle,bicycle,,Key:bicycle,restrictions,1,1,,Access permission for cyclists.,"File:Sinnbild Radfahrer, StVO 1992.svg",,1,1,1,0,,"barrier,highway","access,barrier,bicycle:backward,bicycle:forward,bicycle:physical,bicycle=yes/no,crossing,cycleway:both=separate,cycleway:left,cycleway:left=separate,cycleway:right,cycleway:right=separate,cycleway=lane,cycleway=separate,highway,mtb",t,de facto,,
en,bicycle_parking,bicycle_parking,,Key:bicycle_parking,bicycles,1,1,,For describing the type of bicycle parking.,File:Bicycle-parking.jpg,,1,1,1,0,,"capacity,covered,supervised","amenity=bicycle_parking,capacity,covered,supervised",t,de facto,,
en,bin,bin,,Key:bin,,1,1,,The presence of waste basket at/in a facility.,"File:Berkefeldweg Bushaltestelle mit gläsernem, Graffiti -verschmiertem Wartehaus, Mülleimer und Sitzbank in der Wittinger Straße in Celle.jpg",,1,1,1,0,,"amenity=shelter,public_transport=platform","amenity=shelter,amenity=waste_basket,bin=no,bin=yes,public_transport=platform,shelter=yes,shelter_type=gazebo",t,de facto,,
en,board_type,board_type,,Key:board_type,tourism,1,1,,Specifies the details of an tag:information=board,"File:Information Board of ""Muhalnitza"".JPG",,1,0,0,0,,,"advertising=board,board_type=astronomy,board_type=history,board_type=nature;history,board_type=planet_walk,departures_board,historic=memorial,information=board,information=map,information=tactile_map,memorial=plaque,route=fitness_trail,tourism=artwork,tourism=information",t,de facto,Proposed features/information,
en,boat,boat,,Key:boat,restrictions,1,1,,Access permission for boats,File:Boating restrictions.jpg,,0,1,1,0,,waterway,"access,boat,boat=designated,boat=no,boat=permissive,boat=private,boat=yes,canoe,motorboat,sailboat,ship,waterway",t,de facto,,
en,bollard,bollard,,Key:bollard,barriers,1,1,,Finer-grained classification of a bollard.,File:Rising Bollard.jpg,,1,1,0,0,,,"access,barrier=bollard,bollard,bollard=fixed,bollard=flexible,bollard=foldable,bollard=removable,bollard=rising,bollard=sliding,cycle_barrier,fee,material,material=concrete,material=metal,material=stone,material=wood,opening_hours",t,de facto,,
en,border_type,border_type,,Key:border_type,boundaries,1,1,,"Marks the difference between different types of borders, such as maritime boundaries or imported borders.",,,0,1,0,1,,,"admin_level,admin_level=10,admin_level=2,admin_level=4,admin_level=5,admin_level=6,admin_level=7,admin_level=8,admin_level=8 or 9,admin_level=9,border_type,border_type=baseline,border_type=contiguous,border_type=distrito,border_type=eez,border_type=freguesia,border_type=município,border_type=nation,border_type=região_autónoma,border_type=territorial,boundary=administrative,boundary=maritime,place",t,approved,https://wiki.openstreetmap.org/wiki/Proposal:Maritime_borders,
en,boundary,boundary,,Key:boundary,boundaries,1,1,,"The boundary tag is used to mark the borders of areas, mostly political, but possibly also of other administrative areas.",File:NL-BE border.jpeg,,1,1,1,1,,"admin_level,border_type","admin_level,border_type",t,de facto,,
en,brand,brand,,Key:brand,properties,1,1,,"The identity of a specific product, service, or business. Often trademarks",File:Fast food.jpg,,1,0,1,0,,"branch,brand:website,brand:wikidata","amenity=fast_food,amenity=fuel,branch,brand,brand:remarketed,brand:website,brand:wikidata,brand=BP,brand=KTM,brand=Sheepy Suites,manufacturer,name,name=Moto Mania,name=Sheepy Suites at Longmeadow,name=Tankstelle an der Eisenbahnbrücke,official_name,operator,operator=Black Mutton Enterprises,operator=Joe Miller,operator=Max Müller,ref=844,shop=car,shop=convenience,shop=motorcycle,shop=sports,tourism=hotel",t,de facto,,
en,brand:website,brand:website,,Key:brand:website,properties,1,1,,A link to the website of the brand of a feature.,File:HTTPS and padlock in website address bar.jpg,,1,0,1,0,,"brand:wikidata,brand:wikipedia,name","brand,brand:website,brand:website=https://www.fielmann.de/,brand:wikidata,brand:wikipedia,brand=Fielmann,name,operator:website,shop=optician,website,website=https://www.fielmann.de/niederlassungen/bielefeld/33602-oberntorwall-25/",t,de facto,,
